"year","month","date","new_graves_best_ipol"
2016,11,2016-11-30,344
2016,12,2016-12-31,396
2017,1,2017-01-31,291
2017,10,2017-10-31,299
2017,11,2017-11-30,290
2017,12,2017-12-31,301
2017,2,2017-02-28,252
2017,3,2017-03-31,300
2017,4,2017-04-30,291
2017,5,2017-05-31,299
2017,6,2017-06-30,291
2017,7,2017-07-31,300
2017,8,2017-08-31,300
2017,9,2017-09-30,292
2018,1,2018-01-31,308
2018,10,2018-10-31,274
2018,11,2018-11-30,259
2018,12,2018-12-31,256
2018,2,2018-02-28,279
2018,3,2018-03-31,309
2018,4,2018-04-30,298
2018,5,2018-05-31,312
2018,6,2018-06-30,302
2018,7,2018-07-31,311
2018,8,2018-08-31,306
2018,9,2018-09-30,268
2019,1,2019-01-31,306
2019,10,2019-10-31,258
2019,11,2019-11-30,252
2019,12,2019-12-31,266
2019,2,2019-02-28,294
2019,3,2019-03-31,324
2019,4,2019-04-30,314
2019,5,2019-05-31,324
2019,6,2019-06-30,307
2019,7,2019-07-31,258
2019,8,2019-08-31,258
2019,9,2019-09-30,248
2020,1,2020-01-31,322
2020,10,2020-10-31,NA
2020,11,2020-11-07,NA
2020,2,2020-02-29,467
2020,3,2020-03-31,540
2020,4,2020-04-30,576
2020,5,2020-05-31,566
2020,6,2020-06-30,574
2020,7,2020-07-31,NA
2020,8,2020-08-31,NA
2020,9,2020-09-30,NA
